"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000167900",160.321969964572,2.66399605537985,0.787240042003345,3.21276046907558e-05,0.00127652352302339,"ENSG00000167900","TK1"
"ENSG00000078596",85.0551396741023,-1.48298443794674,0.417088792741086,3.25196194735417e-05,0.0012894297878445,"ENSG00000078596","ITM2A"
"ENSG00000182162",100.289414165191,2.37663747547264,0.697350399975857,3.26359741055956e-05,0.0012913752145577,"ENSG00000182162","P2RY8"
"ENSG00000163879",45.0988575602665,-1.91472131829035,0.552163282394765,3.342991308401e-05,0.00132006885184205,"ENSG00000163879","DNALI1"
"ENSG00000163191",615.955117653111,1.79926953494715,0.516763049983051,3.3545883106298e-05,0.00132145079990461,"ENSG00000163191","S100A11"
"ENSG00000159212",43.0439527942844,-1.78438937613517,0.510955130463917,3.36026257283858e-05,0.00132145079990461,"ENSG00000159212","CLIC6"
"ENSG00000189057",32.8572224254407,3.13915708633091,0.933665914577869,3.40315484470823e-05,0.00133558168966862,"ENSG00000189057","FAM111B"
"ENSG00000163131",199.925540232013,1.26084024754055,0.349280340963652,3.42670608221875e-05,0.00134207992701755,"ENSG00000163131","CTSS"
"ENSG00000231749",33.185439417385,-2.5169684495829,0.741859777039429,3.43385028253371e-05,0.00134213891592881,"ENSG00000231749","ABCA9-AS1"
"ENSG00000140443",893.712319203113,-1.45574392536979,0.411885357613691,3.51073572294269e-05,0.00136940100119905,"ENSG00000140443","IGF1R"
"ENSG00000170688",16.6862055772907,-3.2947617960878,0.959739562147717,3.5475976459026e-05,0.00138097254406728,"ENSG00000170688",NA
"ENSG00000075651",162.428203830056,-1.47896401454569,0.420029154059872,3.66394172214547e-05,0.00142337460707882,"ENSG00000075651","PLD1"
"ENSG00000269113",45.49081191369,-1.84144483587348,0.534678246656967,3.74137197878718e-05,0.00145051857868494,"ENSG00000269113","TRABD2B"
"ENSG00000173641",87.2655620603849,-3.04274290108166,0.923317458558544,3.82964547813902e-05,0.00148174851554367,"ENSG00000173641","HSPB7"
"ENSG00000240771",93.6941873111269,-1.44586577208642,0.411088662549683,3.85130627332517e-05,0.00148713116079242,"ENSG00000240771","ARHGEF25"
"ENSG00000197953",15.2503420568068,-3.72929230411279,1.07709389461716,3.90896877978855e-05,0.00150636586050044,"ENSG00000197953","AADACL2"
"ENSG00000272734",115.847486982005,-1.31055456429563,0.369289967045204,3.98460138967143e-05,0.00153243457453275,"ENSG00000272734",NA
"ENSG00000013293",22.7685988915191,-3.17421045096452,0.94831604509897,4.03218209115605e-05,0.00154763213022751,"ENSG00000013293","SLC7A14"
"ENSG00000164087",32.8551353458407,2.12124460775913,0.625994139952351,4.12986006388668e-05,0.00158195897177743,"ENSG00000164087","POC1A"
"ENSG00000092421",230.189871350718,-1.46631948698676,0.420606899405218,4.16358308025576e-05,0.00158958067916188,"ENSG00000092421","SEMA6A"
"ENSG00000142512",52.4855811596063,1.87297433728454,0.548677257521466,4.16632318075361e-05,0.00158958067916188,"ENSG00000142512","SIGLEC10"
"ENSG00000163618",26.4229269140827,2.542670412304,0.758363537098189,4.17619007707548e-05,0.00159018380494356,"ENSG00000163618","CADPS"
"ENSG00000122591",183.719139020527,-1.49305188999675,0.429351459152712,4.18480421657759e-05,0.00159030846970971,"ENSG00000122591","HYCC1"
"ENSG00000137959",282.737981139079,2.31034564139799,0.692963812807461,4.27213873125151e-05,0.00162028882196537,"ENSG00000137959","IFI44L"
